%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE trainortest {Test,Train}
@ATTRIBUTE speakernumber {Tim,Rich,Nick,Bill,Sarah,Andrew,Mike,David,Mark,Rose,Jo,Kate,Wendy,Sue,Penny}
@ATTRIBUTE sex {Male,Female}
@ATTRIBUTE feature0 NUMERIC
@ATTRIBUTE feature1 NUMERIC
@ATTRIBUTE feature2 NUMERIC
@ATTRIBUTE feature3 NUMERIC
@ATTRIBUTE feature4 NUMERIC
@ATTRIBUTE feature5 NUMERIC
@ATTRIBUTE feature6 NUMERIC
@ATTRIBUTE feature7 NUMERIC
@ATTRIBUTE feature8 NUMERIC
@ATTRIBUTE feature9 NUMERIC
@ATTRIBUTE class {hAd,hEd,hUd,hOd,hed,hud,hid,hod,hYd,had,hId}

@DATA
Test,Mike,Male,-3776,1752,92,722,-1164,774,-1,657,248,1055,hUd
Train,Andrew,Male,-3171,49,-1128,911,-388,2014,-212,707,-551,-187,hId
Train,Jo,Female,-4216,3638,192,-23,-1231,-32,128,103,61,-179,hod
Train,Rose,Female,-4475,4064,-927,-678,599,445,224,103,-1336,-192,hUd
Test,Wendy,Female,-3743,3629,-874,-79,-312,1759,679,565,-521,-485,hod
Train,Andrew,Male,-3141,1873,-1131,941,-759,1224,-354,16,-218,-568,hYd
Train,Andrew,Male,-2887,2131,-83,682,-1557,818,448,-382,207,-402,had
Test,Wendy,Female,-3952,2489,287,12,141,892,-87,613,-685,-623,hUd
Test,Rich,Male,-2951,264,832,-387,-1502,272,756,538,616,-399,hOd
Test,Rich,Male,-2395,1929,-1496,372,65,9,149,813,-484,-672,hAd
Test,Tim,Male,-2453,-32,-1368,104,174,1985,158,59,-1318,-587,hid
Train,Jo,Female,-4067,3908,-65,-378,-1163,65,508,1003,3,-187,hod
Train,Kate,Female,-285,1446,-792,482,-365,46,-29,-761,-251,113,hAd
Train,Jo,Female,-1708,944,-14,151,-92,-481,22,34,-692,19,hAd
Train,Penny,Female,-4045,2193,2,-745,215,387,625,1477,-1207,-27,hUd
Train,Kate,Female,-3618,916,-4,1771,666,1535,-389,-342,-1279,-109,hId
Test,Tim,Male,-2104,16,-297,-71,-172,285,152,-89,-296,-37,hAd
Test,Tim,Male,-4135,3651,-751,-66,-789,1131,496,788,-883,-351,hUd
Test,Rich,Male,-3034,694,-1007,1453,155,148,179,1005,-54,-563,hId
Train,Mark,Male,-324,1749,959,1071,-1188,18,-1024,664,1007,443,hOd
Test,Sue,Female,-4118,2542,-2,1616,1106,-6,-728,-544,-912,-101,hud
Train,Mark,Male,-2343,788,373,492,-667,279,-24,827,589,-267,had
Test,Mike,Male,-1716,1186,-809,-515,-35,29,-404,678,172,-212,hAd
Train,Kate,Female,-275,1475,-848,364,-275,2,-3,-782,-291,167,hAd
Train,Kate,Female,-2905,2311,-658,22,-1121,25,467,484,-157,-676,hYd
Test,Sarah,Female,-2021,2493,-416,-116,94,-33,-4,-8,-136,69,hAd
Train,Jo,Female,-3406,2403,1025,108,-11,-316,99,1541,-304,-671,hOd
Test,Rich,Male,-26,1219,-1315,589,311,364,451,35,-556,-314,hEd
Test,Sarah,Female,-3067,2549,-851,505,44,574,-377,147,-606,189,hed
Test,Nick,Male,-3231,3003,-1161,-315,-816,87,311,677,-565,-7,hOd
Test,Sarah,Female,-3909,3674,-648,88,-365,199,424,336,-12,-252,hUd
Train,Bill,Male,-3146,3076,-683,-32,-693,-6,-267,476,982,-352,hOd
Test,Sarah,Female,-3498,1669,76,153,38,-135,-814,-208,-307,1053,hId
Test,Tim,Male,-2904,458,-656,832,61,805,568,41,-114,-615,hId
Train,Mark,Male,-2834,654,733,1434,-716,-28,-841,239,92,885,hOd
Test,Sue,Female,-2959,1061,-351,1745,-851,344,-373,-729,48,815,hEd
Test,Tim,Male,-3265,1933,-316,602,438,336,48,134,-16,-991,hed
Test,Sarah,Female,-3387,3286,-747,-699,-9,891,875,46,-457,-636,hod
Test,Sarah,Female,-4386,3055,75,-18,-436,566,-288,936,-577,-101,hud
Train,Penny,Female,-2563,2829,-283,-368,-1593,408,121,933,-946,-356,hYd
Train,Mark,Male,-3566,1504,94,1829,-1224,178,-1454,92,767,1059,hod
Train,Bill,Male,-303,1185,314,-121,-591,965,353,-137,-221,75,hed
Train,Mark,Male,-2314,1494,294,245,-769,5,-68,819,618,-572,had
Train,Andrew,Male,-3559,2126,-445,1053,-1765,349,546,321,443,-118,hOd
Train,Kate,Female,-3236,2745,-806,-2,-386,358,889,516,-297,-1075,hOd
Test,Sue,Female,-3747,4267,-1847,-235,38,885,-49,-258,-772,-11,hod
Test,Wendy,Female,-3232,1551,-832,1674,-42,296,-553,-443,-413,96,hEd
Test,Wendy,Female,-3027,2903,-799,-452,-503,1044,679,483,-776,-62,hOd
Test,Mike,Male,-271,809,754,1903,-764,378,-1123,162,405,1163,hOd
Train,Penny,Female,-4384,3721,-905,-965,-16,498,809,66,-613,-831,hod
Train,David,Male,-3813,3705,-157,1561,-1503,-366,-581,1412,29,-99,hod
Test,Nick,Male,-4884,363,-279,496,-67,792,-5,-137,532,-184,hud
Train,David,Male,-1123,415,-1954,563,-465,1983,27,1614,-568,7,hId
Train,Rose,Female,-4474,4569,-1069,-1409,137,1049,71,877,-1355,-167,hod
Train,Andrew,Male,-2666,1516,-1198,741,-1066,124,-574,965,-13,-711,hed
Test,Sarah,Female,-3189,262,-833,45,9,444,-348,126,-614,81,hed
Train,Jo,Female,-4079,2663,-48,-315,234,861,335,435,-546,-928,hUd
Train,Bill,Male,-3054,3104,-513,-85,-952,299,-269,459,892,-308,hOd
Train,Andrew,Male,-2852,1914,-755,825,-1588,855,217,-246,238,-365,had
Train,David,Male,-3693,3067,-273,1619,-1905,45,6,1347,346,36,hod
Test,Tim,Male,-3311,2946,-808,-3,-457,324,515,149,533,-718,hOd
Train,Kate,Female,-3846,1426,-607,1434,-72,113,-535,1159,-123,-385,hUd
Test,Mike,Male,-1222,491,-716,4,-323,1108,-148,773,387,-73,hEd
Test,Sue,Female,-4687,1152,1089,1915,201,-296,-692,-105,-143,884,hid
Test,Mike,Male,-2671,3155,-514,133,-964,234,-71,1192,254,-471,hYd
Train,Mark,Male,-1495,117,-1134,-249,-37,1286,348,854,313,-376,hId
Test,Sarah,Female,-3396,3867,-1029,-603,-573,78,1209,228,-673,-562,hod
Train,Jo,Female,-421,3869,164,-47,-1251,-102,276,919,91,-159,hod
Test,Tim,Male,-4019,352,-1058,-2,-545,1348,351,82,-868,-434,hUd
Train,David,Male,-2432,2126,-218,1422,-1169,41,-393,1326,-67,225,hYd
Train,Jo,Female,-302,1033,-238,-286,88,235,372,563,-1027,-151,hed
Test,Wendy,Female,-4211,2811,16,799,514,496,-1219,-238,-798,-392,hud
Test,Tim,Male,-2101,1502,-322,-363,26,116,162,-74,-106,-397,hAd
Train,Bill,Male,-384,3745,121,-656,-1066,329,734,875,-295,418,hod
Test,Tim,Male,-2131,1487,-302,-272,12,67,149,22,-133,-322,hAd
Test,Rich,Male,-2303,1954,-1493,305,47,56,26,902,-522,-645,hAd
Train,Jo,Female,-4087,2555,123,-151,118,474,365,495,-473,-886,hUd
Train,David,Male,-1824,1682,-669,1483,-1036,711,-249,1193,-274,224,had
Test,Rich,Male,-3689,1367,-389,376,136,343,156,101,-611,-551,hed
Train,Jo,Female,-3661,3266,-117,-237,-755,92,686,381,-58,-687,hOd
Test,Rich,Male,-2758,2839,-282,-449,-485,788,12,792,23,-949,hYd
Test,Rich,Male,-3045,3312,171,-605,-1027,924,353,897,365,-871,hOd
Train,Rose,Female,-4373,4643,-792,-1332,-202,597,192,1133,-1131,-28,hod
Test,Rich,Male,-3863,3245,-996,486,-348,19,558,1342,176,-318,hUd
Test,Sarah,Female,-2883,3576,-1198,-562,-162,974,764,-3,-1023,346,hOd
Train,Rose,Female,-4316,1272,-87,1285,126,-128,-286,-463,-294,691,hEd
Train,Bill,Male,-4267,301,172,28,-827,532,99,326,34,696,hUd
Test,Tim,Male,-2391,-347,-1474,843,89,2021,417,502,-86,-978,hid
Test,Tim,Male,-4052,3747,-124,-299,-426,917,517,716,-21,-125,hod
Train,Andrew,Male,-3624,305,-708,1758,-194,1675,-273,561,-577,-843,hid
Train,Mark,Male,-1537,43,-1125,-213,-378,1265,33,87,293,-393,hId
Test,Tim,Male,-3339,3011,-1264,-343,-119,498,589,78,221,-822,hOd
Train,Bill,Male,-4275,162,728,662,94,1269,711,73,-827,-655,hid
Test,Mike,Male,-3038,2475,24,508,-737,-102,-358,706,6,-209,hYd
Test,Sue,Female,-4039,2061,-727,888,302,413,-381,-194,-614,41,hUd
Test,Nick,Male,-37,1841,-675,441,-383,89,176,594,-677,-408,hed
Train,Kate,Female,-2612,1403,-87,47,-448,172,-6,-656,-334,87,hAd
Test,Sue,Female,-2972,1151,-293,1609,-724,123,-87,-801,4,107,hEd
Train,Rose,Female,-3765,197,-955,304,-735,41,38,146,-536,738,had
Test,Tim,Male,-2385,101,-754,37,785,471,415,318,-797,-679,hEd
Test,Tim,Male,-2175,1631,-331,-203,-159,246,18,-93,-351,-267,hAd
Train,Penny,Female,-4036,2141,-355,-602,837,663,-13,507,-1412,21,hUd
Test,Tim,Male,-2596,1867,-208,208,-574,146,-214,116,395,-541,hYd
Test,Wendy,Female,-3634,3589,-1075,-709,58,1051,878,627,-111,-437,hod
Test,Mike,Male,-2073,88,-73,296,-286,175,154,1078,294,-174,hId
Test,Rich,Male,-4066,398,-382,1679,121,1617,504,-315,-226,-873,hid
Test,Nick,Male,-3117,146,-1228,1635,223,2026,36,569,-115,-767,hid
Test,Nick,Male,-4033,4071,-586,127,-1447,62,197,711,48,-306,hod
Train,Bill,Male,-1978,1542,-1487,-96,-25,32,-63,97,-73,-381,hAd
Test,Nick,Male,-2538,2351,-1029,146,-922,201,-58,835,-712,-74,had
Train,Mark,Male,-2804,1021,254,331,-654,854,-85,678,259,-31,hed
Test,Nick,Male,-3735,2096,-818,463,-221,1144,23,224,-745,-325,hed
Train,Mark,Male,-2559,23,408,-1,-1077,125,-254,975,7,-47,hYd
Train,Rose,Female,-4469,4348,-174,-886,447,883,374,577,-908,-89,hod
Train,Bill,Male,-1954,1595,-1593,37,-136,22,34,321,-19,-491,hAd
Train,Kate,Female,-2882,2165,-589,173,-1165,14,571,502,-93,-616,hYd
Train,Rose,Female,-5058,2236,1381,1885,-259,-483,-562,123,-63,663,hid
Test,Rich,Male,-3053,716,-1024,1422,184,1473,261,983,-431,-717,hId
Train,Mark,Male,-1921,719,-95,299,222,786,128,588,-462,-491,hEd
Train,David,Male,-3836,3699,-225,152,-1729,-184,64,97,5,-13,hod
Train,Bill,Male,-1945,352,-1053,-228,-12,927,88,509,-279,-246,hEd
Test,Wendy,Female,-3325,2141,-528,439,99,321,217,135,-1388,746,hed
Train,Andrew,Male,-2302,85,-1646,455,-488,1491,-617,819,-887,-8,hEd
Train,Andrew,Male,-3941,2305,124,1771,-1815,593,-435,992,575,-301,hod
Train,Mark,Male,-2089,1695,-528,-232,385,-137,33,71,33,-744,hAd
Train,Penny,Female,-2889,-39,-494,719,1104,1003,-415,97,-855,356,hId
Train,Mark,Male,-2554,1532,812,367,-1208,-352,-252,894,5,84,hYd
Train,Mark,Male,-2933,717,829,1508,-517,69,-1163,21,866,1066,hOd
Train,Kate,Female,-4836,3871,-684,182,349,-176,317,59,-24,-113,hud
Train,Jo,Female,-4077,2542,39,82,218,393,324,399,-658,-964,hUd
Train,Mark,Male,-3772,904,-195,317,-473,131,-43,898,536,503,hud
Test,Rich,Male,-2703,2066,205,-63,-345,1229,403,-32,247,-696,had
Train,Kate,Female,-3394,557,-573,1704,608,1644,109,2,-1507,-225,hId
Test,Nick,Male,-4827,3391,-99,599,-723,741,89,-214,518,-74,hud
Test,Wendy,Female,-4094,2499,-149,1017,683,536,-1023,-127,-1142,-421,hud
Train,Bill,Male,-465,2455,13,681,-8,1434,126,36,382,278,hud
Test,Tim,Male,-3823,3536,-207,245,-442,1125,73,538,-6,-64,hod
Train,Penny,Female,-2041,2119,-585,549,-43,-291,-2,-234,-751,253,hAd
Train,David,Male,-14,316,-1894,83,-242,2038,3,1667,-515,-87,hId
Test,Sue,Female,-3055,14,-686,964,-129,545,337,-299,-173,69,hAd
Train,Rose,Female,-3949,299,-643,-986,-175,768,249,803,-1479,168,hOd
Train,Bill,Male,-3917,3496,409,-531,-115,17,605,977,-328,447,hod
Test,Rich,Male,-2445,2678,-816,-743,76,1117,-57,18,281,-72,had
Test,Sarah,Female,-335,2713,-472,4,-196,248,-224,53,-358,-91,hed
Train,David,Male,-3675,3132,-241,1587,-175,-222,39,1052,545,233,hod
Train,Rose,Female,-4471,4096,-809,-881,646,539,4,142,-1555,-23,hUd
Train,Rose,Female,-4651,4246,-823,-831,666,546,-3,94,-1343,185,hUd
Train,Kate,Female,-4172,3188,-375,1028,-141,8,513,635,802,-28,hod
Train,Andrew,Male,-2289,1845,-1616,987,-876,1044,-549,196,-7,-814,hAd
Train,Penny,Female,-3152,86,-325,868,1084,753,-522,-5,-821,483,hId
Test,Mike,Male,-3816,3426,224,-384,-1733,434,-322,1333,653,577,hod
Train,Andrew,Male,-3015,2232,-899,574,-1331,546,61,-452,35,-156,had
Test,Wendy,Female,-4008,2141,-18,1041,688,712,-879,-201,-1066,-549,hud
Train,David,Male,-2704,1285,-908,157,-84,1044,-399,951,345,-695,hed
Train,Jo,Female,-2861,2091,-411,-438,-643,317,817,104,-481,-252,hYd
Test,Rich,Male,-4103,3812,255,-103,-994,97,-345,2039,2,-43,hod
Train,Andrew,Male,-3546,1258,-1227,823,-702,1734,-397,1333,-277,13,hUd
Train,Kate,Female,-4243,3354,-415,898,-1027,-281,576,48,564,-85,hod
Test,Sue,Female,-3029,1747,-899,674,-1046,558,204,-155,-237,655,hAd
Test,Sue,Female,-2967,2781,-1277,354,-936,1505,-4,-418,-56,725,hYd
Test,Wendy,Female,-3661,3,53,1816,333,444,-858,-732,-809,995,hid
Train,Penny,Female,-421,3289,-106,-1247,-683,539,579,832,-35,-764,hod
Train,David,Male,-2176,1952,-144,1659,-1128,28,-658,1346,8,505,hYd
Test,Wendy,Female,-3441,1975,-395,1024,-52,-167,-445,168,-684,104,hEd
Train,Jo,Female,-2939,2157,-451,-209,-88,697,823,-35,-744,-193,hYd
Test,Rich,Male,-4122,3177,529,-176,-1307,132,-279,1353,458,-9,hod
Test,Tim,Male,-2289,1106,-816,228,867,616,338,298,-843,-832,hEd
Test,Sarah,Female,-3356,3236,-653,-9,-661,143,901,395,-139,-726,hod
Test,Mike,Male,-1793,925,-739,-396,-211,329,-403,604,197,-251,hAd
Test,Sue,Female,-2928,283,-1361,323,-739,1431,2,-172,-939,607,hYd
Train,Kate,Female,-2884,2424,-764,-108,-1015,361,712,133,-17,-847,hYd
Test,Tim,Male,-2565,1871,-269,187,-656,267,-328,184,348,-511,hYd
Test,Nick,Male,-3871,1694,-606,1428,44,844,-13,126,-1218,-553,hId
Test,Nick,Male,-1993,1725,-113,556,-1223,485,211,-4,-294,-548,hAd
Train,David,Male,-961,514,-1951,364,-68,1895,47,1539,-63,94,hId
Train,Kate,Female,-3322,-303,-5,963,921,981,1059,-1079,-1004,112,hid
Train,Jo,Female,-3689,-599,692,1307,605,1514,-752,-697,-355,702,hid
Train,Andrew,Male,-2598,1938,-846,1062,-1633,764,394,-15,277,-396,hYd
Train,Rose,Female,-5124,2319,1413,1804,-277,-33,-746,221,6,46,hid
Train,Bill,Male,-1816,458,-947,-341,85,75,144,462,-24,-266,hEd
Train,Mark,Male,-2704,917,267,314,-756,818,-114,673,261,56,hed
Test,Mike,Male,-2698,-1027,-94,1796,392,133,866,781,-838,-663,hid
Train,David,Male,-2679,1731,-9,2003,-1009,38,-822,1232,128,72,hOd
Train,Mark,Male,-357,1366,97,1957,-1262,2,-1275,585,754,993,hod
Test,Sarah,Female,-2027,2157,-297,-211,-266,86,-176,-179,-283,292,hAd
Test,Nick,Male,-4101,284,-802,62,-733,1304,-145,443,49,-611,hUd
Test,Tim,Male,-258,1608,-311,273,-148,262,-62,167,337,-692,had
Test,Sue,Female,-3797,4314,-1596,-476,44,903,129,-141,-646,-318,hod
Train,Penny,Female,-2776,2563,532,277,-147,-368,-278,1479,-164,-797,hOd
Train,Bill,Male,-3058,1678,-351,-255,38,692,-173,226,202,-593,hed
Test,Wendy,Female,-3753,3605,-899,-747,-401,1765,62,754,-835,-301,hod
Train,Kate,Female,-3347,-159,-414,922,973,978,929,-1211,-1268,278,hid
Test,Wendy,Female,-2643,2021,-1265,759,-442,159,-32,-145,-164,86,hAd
Train,Mark,Male,-4521,143,162,58,-351,1339,-259,81,431,-102,hud
Train,Jo,Female,-4071,2754,-232,-262,356,694,381,5,-721,-859,hUd
Train,Bill,Male,-1976,389,-947,-25,-65,949,127,478,-323,-345,hEd
Test,Mike,Male,-2982,522,-1,362,-66,1115,-305,859,637,344,hed
Train,Mark,Male,-2439,789,82,242,-693,595,-353,702,413,98,hed
Train,Penny,Female,-3098,2525,-316,-322,-1082,285,445,847,-951,-707,hOd
Test,Sue,Female,-3371,2007,-919,843,221,541,-317,-37,-5,652,had
Train,David,Male,-333,1529,-552,2023,-845,16,49,512,396,386,hUd
Train,Andrew,Male,-3237,436,-86,1363,-251,1915,-395,751,-774,-327,hId
Test,Nick,Male,-3587,1193,-617,134,-22,1103,-72,368,-854,-767,hId
Test,Sarah,Female,-3266,577,-261,1481,874,301,-496,-12,-623,879,hId
Test,Sue,Female,-4052,2335,-415,732,234,426,-49,-218,-618,34,hUd
Train,Bill,Male,-4323,2853,385,209,-1096,431,119,268,131,654,hUd
Test,Rich,Male,-3983,3695,96,-333,-101,169,-108,1674,262,-231,hod
Train,Andrew,Male,-3618,1576,-114,699,-741,1633,-387,1086,235,-388,hUd
Test,Wendy,Female,-3048,2817,-703,-396,-639,92,674,686,-611,-53,hOd
Test,Sue,Female,-3917,1925,267,1361,453,-19,-242,-633,-62,1039,hId
Test,Rich,Male,-4893,337,-464,538,-327,496,27,47,742,-141,hud
Test,Tim,Male,-2919,463,-716,957,635,833,501,48,-134,-638,hId
Test,Sarah,Female,-2594,2584,-37,-524,-177,515,-137,95,-731,72,had
