%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE a1 {b,a,?}
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 {u,y,l,?}
@ATTRIBUTE a5 {g,p,gg,?}
@ATTRIBUTE a6 {e,q,aa,c,i,w,ff,d,m,k,x,cc,j,?,r}
@ATTRIBUTE a7 {v,h,bb,ff,n,dd,j,z,?,o}
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 {t,f}
@ATTRIBUTE a10 {t,f}
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 {f,t}
@ATTRIBUTE a13 {g,s,p}
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE class {+,-}

@DATA
a,3325,3,y,p,aa,v,2,f,f,0,f,g,180,0,-
b,1817,1025,u,g,c,h,1085,f,f,0,f,g,320,13,-
b,3475,15,u,g,r,n,5375,t,t,9,t,g,0,134,+
a,2250,846,y,p,x,v,246,f,f,0,f,g,164,0,+
a,2075,1025,u,g,q,v,71,t,t,2,t,g,49,0,+
b,3633,379,u,g,w,v,1165,t,f,0,t,g,200,0,-
a,3833,4415,u,g,c,v,125,f,f,0,f,g,160,0,-
b,2667,14585,u,g,i,bb,0,f,f,0,t,g,178,0,-
b,2275,11,u,g,q,v,25,t,t,7,t,g,100,809,+
a,3192,3125,u,g,ff,ff,304,f,t,2,t,g,200,4,-
b,3408,25,u,g,c,v,1,f,f,0,f,g,460,16,-
b,3733,2665,u,g,cc,v,165,f,f,0,t,g,0,501,-
b,3100,2085,u,g,c,v,85,f,f,0,f,g,300,0,-
b,2767,75,u,g,q,h,165,f,f,0,t,g,220,251,-
b,3642,75,y,p,d,v,585,f,f,0,f,g,240,3,-
b,4950,7585,u,g,i,bb,7585,t,t,15,t,g,0,5000,+
b,1858,571,u,g,d,v,54,f,f,0,f,g,120,0,-
b,1942,15,y,p,cc,v,2,t,f,0,t,g,100,20,-
b,1883,0,u,g,q,v,665,f,f,0,f,g,160,1,-
b,2267,75,u,g,i,v,1585,f,t,1,t,g,400,9,-
a,6867,15,u,g,e,z,0,t,t,14,f,g,0,3376,+
a,5575,708,u,g,k,h,675,t,t,3,t,g,100,50,-
b,1600,3125,u,g,w,v,85,f,t,1,f,g,0,6,-
b,2517,6,u,g,c,v,1,t,t,3,f,g,0,0,+
a,2083,5,y,p,e,dd,1,f,f,0,f,g,260,0,-
a,2542,1125,u,g,q,v,129,t,t,2,f,g,200,0,-
?,3225,15,u,g,c,v,25,f,f,0,t,g,372,122,-
b,2283,3,u,g,m,v,129,t,t,1,f,g,260,800,+
b,1708,25,u,g,q,v,335,f,t,4,f,g,160,8,-
b,3617,18125,u,g,w,v,85,f,f,0,f,g,320,3552,-
b,2958,45,u,g,w,v,75,t,t,2,t,g,330,0,+
b,3400,5085,y,p,i,bb,1085,f,f,0,t,g,480,0,-
b,2067,529,u,g,q,v,375,t,t,1,f,g,160,0,-
a,3858,5,u,g,cc,v,135,t,f,0,t,g,980,0,-
a,3392,1585,y,p,ff,ff,0,t,f,0,f,g,320,0,-
a,5833,10,u,g,q,v,4,t,t,14,f,g,0,1602,+
a,1783,11,u,g,x,h,1,t,t,11,f,g,0,3000,+
b,1517,7,u,g,e,v,1,f,f,0,f,g,600,0,-
b,4325,3,u,g,q,h,6,t,t,11,f,g,80,0,+
a,2450,2415,y,p,c,v,0,f,f,0,f,g,120,0,-
b,1900,0,y,p,ff,ff,0,f,t,4,f,g,45,1,-
?,2975,665,u,g,w,v,25,f,f,0,t,g,300,0,-
b,2317,11125,u,g,x,h,46,t,t,1,f,g,100,0,+
a,2858,1665,u,g,q,v,2415,t,f,0,t,g,440,0,-
b,3925,95,u,g,m,v,65,t,t,14,f,g,240,4607,+
b,4783,4165,u,g,x,bb,85,f,f,0,t,g,520,0,-
b,3367,2165,u,g,c,v,15,f,f,0,f,p,120,0,-
b,2892,375,u,g,c,v,29,f,f,0,f,g,220,140,-
b,3192,446,u,g,cc,h,604,t,t,3,f,g,311,300,+
a,2192,11665,u,g,k,h,85,f,f,0,f,g,320,5,-
b,3758,0,?,?,?,?,0,f,f,0,f,p,?,0,+
b,2617,25,u,g,i,bb,0,t,f,0,t,g,0,0,+
a,2008,125,u,g,c,v,0,f,f,0,f,g,0,0,-
a,1883,4415,y,p,c,h,3,t,f,0,f,g,240,0,+
b,3467,108,u,g,m,v,1165,f,f,0,f,s,28,0,-
b,2258,1004,u,g,x,v,4,t,t,9,f,g,60,396,+
a,1608,335,u,g,ff,ff,0,f,t,1,f,g,160,126,-
b,4175,96,u,g,x,v,25,t,f,0,f,g,510,600,+
a,1600,165,u,g,aa,v,1,f,t,2,t,g,320,1,-
b,3750,1125,y,p,d,v,15,f,f,0,t,g,431,0,+
b,2325,4,u,g,c,bb,25,t,f,0,t,g,160,0,+
a,2858,354,u,g,i,bb,5,t,f,0,t,g,171,0,-
b,2000,0,u,g,d,v,5,f,f,0,f,g,144,0,-
b,2967,75,y,p,c,v,4,f,f,0,f,g,240,0,-
a,4775,8,u,g,c,v,7875,t,t,6,t,g,0,1260,+
b,3017,5,u,g,c,v,175,t,t,11,f,g,32,540,+
a,3875,15,u,g,ff,ff,0,f,f,0,f,g,76,0,-
b,2342,585,u,g,c,h,85,t,f,0,f,g,180,0,-
b,4717,5835,u,g,w,v,55,f,f,0,f,g,465,150,-
b,3917,25,y,p,i,h,10,f,f,0,t,s,200,0,-
a,2758,3,u,g,m,v,279,f,t,1,t,g,280,10,-
a,2325,5875,u,g,q,v,317,t,t,10,f,g,120,245,+
b,3358,25,u,g,i,bb,4,f,f,0,t,s,420,0,-
b,2442,12335,u,g,q,h,1585,t,f,0,t,g,120,0,+
b,?,4,u,g,x,v,5,t,t,3,t,g,290,2279,+
a,3675,471,u,g,ff,ff,0,f,f,0,f,g,160,0,-
b,3400,55,y,p,c,v,15,f,f,0,t,g,60,0,-
a,3542,12,u,g,q,h,14,t,t,8,f,g,0,6590,+
b,2575,75,u,g,c,bb,25,t,f,0,f,g,349,23,+
a,1917,585,y,p,aa,v,585,t,f,0,t,g,160,0,-
b,2100,479,y,p,w,v,225,t,t,1,t,g,80,300,+
b,3442,425,u,g,i,bb,325,t,t,2,f,g,274,610,+
b,5658,185,u,g,d,bb,15,t,t,17,t,g,0,0,+
